pure_text,orginial_text,len,label
I think using drones is better than this,"['i', 'think', 'using', 'drones', 'is', 'better', 'than', 'this']",8,0
Rolling toilets! Nice!,"['rolling', 'toilets', 'nice']",3,0
Cute,['cute'],1,1
Those things are useless,"['those', 'things', 'are', 'useless']",4,0
This only means an American or Our Brothers and sisters around the globe will not have a Job  .   What do these rich people think will happen when peep can't work for a living wage because all the JOBS are done by robots or ship seas,"['this', 'only', 'means', 'an', 'american', 'or', 'our', 'brothers', 'and', 'sisters', 'around', 'the', 'globe', 'will', 'not', 'have', 'a', 'job', 'what', 'do', 'these', 'rich', 'people', 'think', 'will', 'happen', 'when', 'peep', 'can', 'not', 'work', 'for', 'a', 'living', 'wage', 'because', 'all', 'the', 'jobs', 'are', 'done', 'by', 'robots', 'or', 'ship', 'seas']",46,0
The future is now in Colombia ! Great work  .   Lol,"['the', 'future', 'is', 'now', 'in', 'colombia', 'great', 'work', 'lol']",9,1
"They are at Bowling Green State now, and my sister and I have been following them around campus  .   The newspaper said there’s 30 of them which will operate from 7:30 AM to 1 PM and take care of 500 orders a day  .   They look both ways and wait patiently before crossing the road, they have a flag that can light up to signal that they’re there  .   I feel like the future is within our grasp, WE CAN DO THIS","['they', 'are', 'at', 'bowling', 'green', 'state', 'now', 'and', 'my', 'sister', 'and', 'i', 'have', 'been', 'following', 'them', 'around', 'campus', 'the', 'newspaper', 'said', 'there', 's', 'of', 'them', 'which', 'will', 'operate', 'from', 'am', 'to', 'pm', 'and', 'take', 'care', 'of', 'orders', 'a', 'day', 'they', 'look', 'both', 'ways', 'and', 'wait', 'patiently', 'before', 'crossing', 'the', 'road', 'they', 'have', 'a', 'flag', 'that', 'can', 'light', 'up', 'to', 'signal', 'that', 'they', 're', 'there', 'i', 'feel', 'like', 'the', 'future', 'is', 'within', 'our', 'grasp', 'we', 'can', 'do', 'this']",77,1
"Well, I mean, aside from this there's normal food delivery operated by humans  .   Which I don't think is specific to the US, no?","['well', 'i', 'mean', 'aside', 'from', 'this', 'there', ""'s"", 'normal', 'food', 'delivery', 'operated', 'by', 'humans', 'which', 'i', 'do', 'not', 'think', 'is', 'specific', 'to', 'the', 'us', 'no']",25,2
I love the one where it gets hit trying to cross and just backs up in shame,"['i', 'love', 'the', 'one', 'where', 'it', 'gets', 'hit', 'trying', 'to', 'cross', 'and', 'just', 'backs', 'up', 'in', 'shame']",17,2
Self inspired invention i guess,"['self', 'inspired', 'invention', 'i', 'guess']",5,2
Seeing this makes me happy good robot,"['seeing', 'this', 'makes', 'me', 'happy', 'good', 'robot']",7,1
He move so slow it will take him all year to deliver our packages  .   this is equivalent to a man walking through the neighborhood (no van) going door to door delivering packages (one by one),"['he', 'move', 'so', 'slow', 'it', 'will', 'take', 'him', 'all', 'year', 'to', 'deliver', 'our', 'packages', 'this', 'is', 'equivalent', 'to', 'a', 'man', 'walking', 'through', 'the', 'neighborhood', 'no', 'van', 'going', 'door', 'to', 'door', 'delivering', 'packages', 'one', 'by', 'one']",35,0
WONDERFUL! IS FANTASTIC! BEAUTIFUL,"['wonderful', 'is', 'fantastic', 'beautiful']",4,1
That's so cute,"['that', ""'s"", 'so', 'cute']",4,1
Theirs a 5 mph speed limit on most of these bots in US right now,"['theirs', 'a', 'mph', 'speed', 'limit', 'on', 'most', 'of', 'these', 'bots', 'in', 'us', 'right', 'now']",14,2
"lol, the future is here! We should use this to do curbside book delivery at the Mission Viejo Library!","['lol', 'the', 'future', 'is', 'here', 'we', 'should', 'use', 'this', 'to', 'do', 'curbside', 'book', 'delivery', 'at', 'the', 'mission', 'viejo', 'library']",19,1
Can it deliver my gold plated bathplug????,"['can', 'it', 'deliver', 'my', 'gold', 'plated', 'bathplug']",7,2
Ok what if the delivery person gets hit by something?,"['ok', 'what', 'if', 'the', 'delivery', 'person', 'gets', 'hit', 'by', 'something']",10,0
"This was exactly my 1st thought as well, ""hmm so easy for anyone to take the packages or harm the robot""  .  ","['this', 'was', 'exactly', 'my', 'thought', 'as', 'well', 'hmm', 'so', 'easy', 'for', 'anyone', 'to', 'take', 'the', 'packages', 'or', 'harm', 'the', 'robot']",20,1
They are so slow,"['they', 'are', 'so', 'slow']",4,0
Probably has a tracker on it so the company know where it is,"['probably', 'has', 'a', 'tracker', 'on', 'it', 'so', 'the', 'company', 'know', 'where', 'it', 'is']",13,2
"This another for the company to keep more profits  .   by cutting drivers out, your food cost want go down  .   ","['this', 'another', 'for', 'the', 'company', 'to', 'keep', 'more', 'profits', 'by', 'cutting', 'drivers', 'out', 'your', 'food', 'cost', 'want', 'go', 'down']",19,1
"Nah, they will just throw the whole $20,000 robot in their truck, take the packages, dismantle it, and sell it to a metal recycling place for a few bucks  .  ","['nah', 'they', 'will', 'just', 'throw', 'the', 'whole', 'robot', 'in', 'their', 'truck', 'take', 'the', 'packages', 'dismantle', 'it', 'and', 'sell', 'it', 'to', 'a', 'metal', 'recycling', 'place', 'for', 'a', 'few', 'bucks']",28,0
Many companies have been doing this 4-5 years now  .  ,"['many', 'companies', 'have', 'been', 'doing', 'this', 'years', 'now']",8,2
That's exactly why those type of films were made  .   Condition the masses for what's coming  .  ,"['that', ""'s"", 'exactly', 'why', 'those', 'type', 'of', 'films', 'were', 'made', 'condition', 'the', 'masses', 'for', 'what', ""'s"", 'coming']",17,0
how would they catch a homeless guy  .   Look up robot tries to hitch hike across country & see what happened to it,"['how', 'would', 'they', 'catch', 'a', 'homeless', 'guy', 'look', 'up', 'robot', 'tries', 'to', 'hitch', 'hike', 'across', 'country', 'see', 'what', 'happened', 'to', 'it']",21,2
I didn't even know that they could do this!,"['i', 'did', 'not', 'even', 'know', 'that', 'they', 'could', 'do', 'this']",10,1
More people out of work coz tech,"['more', 'people', 'out', 'of', 'work', 'coz', 'tech']",7,0
"they do talk to you  .   I find them queued up sometimes at the crossing by my house, and they ask you to press the button so they can cross  .  ","['they', 'do', 'talk', 'to', 'you', 'i', 'find', 'them', 'queued', 'up', 'sometimes', 'at', 'the', 'crossing', 'by', 'my', 'house', 'and', 'they', 'ask', 'you', 'to', 'press', 'the', 'button', 'so', 'they', 'can', 'cross']",29,2
Something terrible must have happened to your robot :(,"['something', 'terrible', 'must', 'have', 'happened', 'to', 'your', 'robot']",8,0
cool!!  .  ,['cool'],1,1
"This will create INSANE social divisions, victim blaming and racism! There are neighborhoods where these things will be instantaneously attacked, looted, dismantled and vandalized  .   Yes these are racially apartheid ghettoes, especially in the US  .   The resentful poor will implicitly drive these things from where they live and these communities will be catastrophically left outside of the benefits of this progress  .  ","['this', 'will', 'create', 'insane', 'social', 'divisions', 'victim', 'blaming', 'and', 'racism', 'there', 'are', 'neighborhoods', 'where', 'these', 'things', 'will', 'be', 'instantaneously', 'attacked', 'looted', 'dismantled', 'and', 'vandalized', 'yes', 'these', 'are', 'racially', 'apartheid', 'ghettoes', 'especially', 'in', 'the', 'us', 'the', 'resentful', 'poor', 'will', 'implicitly', 'drive', 'these', 'things', 'from', 'where', 'they', 'live', 'and', 'these', 'communities', 'will', 'be', 'catastrophically', 'left', 'outside', 'of', 'the', 'benefits', 'of', 'this', 'progress']",60,0
just flip it over so it can’t move anymore,"['just', 'flip', 'it', 'over', 'so', 'it', 'can', 't', 'move', 'anymore']",10,0
"The WALL-E looking robot is only partially suitable for street use  .   It must be able to right itself when it hits a curb poorly and falls over  .   Vandalism  .   Theft  .   Keeping food hot or cold  .   Street-traveling robot design has a long way to go yet  .   What if it meets a kid on a bicycle? Did we see pneumatic tires? I hope not  .   I don't think we want to deal with tires going flat  .   At least the journey to find a suitable design in underway  .   Forward, ever  .   :)","['the', 'wall-e', 'looking', 'robot', 'is', 'only', 'partially', 'suitable', 'for', 'street', 'use', 'it', 'must', 'be', 'able', 'to', 'right', 'itself', 'when', 'it', 'hits', 'a', 'curb', 'poorly', 'and', 'falls', 'over', 'vandalism', 'theft', 'keeping', 'food', 'hot', 'or', 'cold', 'street-traveling', 'robot', 'design', 'has', 'a', 'long', 'way', 'to', 'go', 'yet', 'what', 'if', 'it', 'meets', 'a', 'kid', 'on', 'a', 'bicycle', 'did', 'we', 'see', 'pneumatic', 'tires', 'i', 'hope', 'not', 'i', 'do', 'not', 'think', 'we', 'want', 'to', 'deal', 'with', 'tires', 'going', 'flat', 'at', 'least', 'the', 'journey', 'to', 'find', 'a', 'suitable', 'design', 'in', 'underway', 'forward', 'ever']",86,0
So cute,"['so', 'cute']",2,1
And if you are not home?,"['and', 'if', 'you', 'are', 'not', 'home']",6,2
oh wow! Hope to see it in Mountain View too!,"['oh', 'wow', 'hope', 'to', 'see', 'it', 'in', 'mountain', 'view', 'too']",10,1
They will be robbed and vandalized the first day in Houston,"['they', 'will', 'be', 'robbed', 'and', 'vandalized', 'the', 'first', 'day', 'in', 'houston']",11,2
I have never used one because I would walk to wherever it would deliver from  .  ,"['i', 'have', 'never', 'used', 'one', 'because', 'i', 'would', 'walk', 'to', 'wherever', 'it', 'would', 'deliver', 'from']",15,0
Takes away a lot of jobs,"['takes', 'away', 'a', 'lot', 'of', 'jobs']",6,0
Is it controlled by human?,"['is', 'it', 'controlled', 'by', 'human']",5,2
"Sounds great, but you know people are gonna steal/vandalize it","['sounds', 'great', 'but', 'you', 'know', 'people', 'are', 'going', 'to', 'steal/vandalize', 'it']",11,0
The future is underwhelming  .   Where's my flying car?,"['the', 'future', 'is', 'underwhelming', 'where', ""'s"", 'my', 'flying', 'car']",9,2
Police bot Delivery bot,"['police', 'bot', 'delivery', 'bot']",4,2
Looks easy to rob,"['looks', 'easy', 'to', 'rob']",4,0
"true, they should just scrap the whole idea in general honestly","['true', 'they', 'should', 'just', 'scrap', 'the', 'whole', 'idea', 'in', 'general', 'honestly']",11,0
That is  .   THE CUTEST THING ON EARTH,"['that', 'is', 'the', 'cutest', 'thing', 'on', 'earth']",7,1
"""I deliver to Oakland"" more like ""I get in everybody's way and I am a discount Wall-E""","['i', 'deliver', 'to', 'oakland', 'more', 'like', 'i', 'get', 'in', 'everybody', ""'s"", 'way', 'and', 'i', 'am', 'a', 'discount', 'wall-e']",18,2
I would be so tempted to turn it over to see if it could right itself …  .  ,"['i', 'would', 'be', 'so', 'tempted', 'to', 'turn', 'it', 'over', 'to', 'see', 'if', 'it', 'could', 'right', 'itself', '…']",17,0
"I love these diligent little men  .   Keep going little guys, you’re just vibing and doing a great job  .  ","['i', 'love', 'these', 'diligent', 'little', 'men', 'keep', 'going', 'little', 'guys', 'you', 're', 'just', 'vibing', 'and', 'doing', 'a', 'great', 'job']",19,1
Couriers will have baseball bats with them in case they meet the robot competitor on the way :DD,"['couriers', 'will', 'have', 'baseball', 'bats', 'with', 'them', 'in', 'case', 'they', 'meet', 'the', 'robot', 'competitor', 'on', 'the', 'way', 'dd']",18,0
That thing people rob robots  should definitely be happening,"['that', 'thing', 'people', 'rob', 'robots', 'should', 'definitely', 'be', 'happening']",9,0
"To resolve this debate, companies would need the carts/drones, have a master combo vehicle, that holds the drones and bot carts, like an car/truck/Rv sub central mobile delivery which adapts to location stops  .  ","['to', 'resolve', 'this', 'debate', 'companies', 'would', 'need', 'the', 'carts/drones', 'have', 'a', 'master', 'combo', 'vehicle', 'that', 'holds', 'the', 'drones', 'and', 'bot', 'carts', 'like', 'an', 'car/truck/rv', 'sub', 'central', 'mobile', 'delivery', 'which', 'adapts', 'to', 'location', 'stops']",33,2
You would ride one wouldn't you?,"['you', 'would', 'ride', 'one', 'would', 'not', 'you']",7,2
"Amazing technology, thank you for sharing","['amazing', 'technology', 'thank', 'you', 'for', 'sharing']",6,1
I’m just now seeing this in Delta and it was cool,"['i', 'm', 'just', 'now', 'seeing', 'this', 'in', 'delta', 'and', 'it', 'was', 'cool']",12,1
Good for a drug dealer  .  no more standing on corners  .  ,"['good', 'for', 'a', 'drug', 'dealer', 'no', 'more', 'standing', 'on', 'corners']",10,0
Someone will take a shit in it depending on the part of town  .  ,"['someone', 'will', 'take', 'a', 'shit', 'in', 'it', 'depending', 'on', 'the', 'part', 'of', 'town']",13,0
So cool and innovative!!,"['so', 'cool', 'and', 'innovative']",4,1
Then one of the cameras will pick up the driver's registration number and they get hit with a big fat fine  .   Hope it was worth it to stop someone getting their groceries,"['then', 'one', 'of', 'the', 'cameras', 'will', 'pick', 'up', 'the', 'driver', ""'s"", 'registration', 'number', 'and', 'they', 'get', 'hit', 'with', 'a', 'big', 'fat', 'fine', 'hope', 'it', 'was', 'worth', 'it', 'to', 'stop', 'someone', 'getting', 'their', 'groceries']",33,1
"Conceptually we all have visions of what the future could look like but as a few people have commented already, space on sidewalks, vandalism, tampering, & theft, even with flying drones, are a huge reality that would likely see these fail after the novelty wore off  .   ","['conceptually', 'we', 'all', 'have', 'visions', 'of', 'what', 'the', 'future', 'could', 'look', 'like', 'but', 'as', 'a', 'few', 'people', 'have', 'commented', 'already', 'space', 'on', 'sidewalks', 'vandalism', 'tampering', 'theft', 'even', 'with', 'flying', 'drones', 'are', 'a', 'huge', 'reality', 'that', 'would', 'likely', 'see', 'these', 'fail', 'after', 'the', 'novelty', 'wore', 'off']",45,0
I never touched the robot,"['i', 'never', 'touched', 'the', 'robot']",5,2
you can steal other packages but a great idea,"['you', 'can', 'steal', 'other', 'packages', 'but', 'a', 'great', 'idea']",9,0
Milton Keynes has been working on autonomous vehicles for 10-15 years  .   The grid layout of the city wasn't random  .   i hope you don't think this is a good future btw  .  ,"['milton', 'keynes', 'has', 'been', 'working', 'on', 'autonomous', 'vehicles', 'for', 'years', 'the', 'grid', 'layout', 'of', 'the', 'city', 'was', 'not', 'random', 'i', 'hope', 'you', 'do', 'not', 'think', 'this', 'is', 'a', 'good', 'future', 'btw']",31,2
"how does it know when to cross streets, etc.  .   or they are controlled from the HQ in the future","['yeah', 'i', 'know', 'right', 'how', 'does', 'it', 'know', 'when', 'to', 'cross', 'streets', 'etc', 'or', 'they', 'are', 'controlled', 'from', 'the', 'hq', 'in', 'the', 'future']",23,2
Hilarious!!!,['hilarious'],1,1
Just rob it,"['just', 'rob', 'it']",3,0
I am assuming they will have to build slightly different versions for different climates  .   I believe UPS does that with their trucks  .  ,"['i', 'am', 'assuming', 'they', 'will', 'have', 'to', 'build', 'slightly', 'different', 'versions', 'for', 'different', 'climates', 'i', 'believe', 'ups', 'does', 'that', 'with', 'their', 'trucks']",22,2
This is the life I want to see  .   Robotic workers and delivery is so cool and the way of the future,"['this', 'is', 'the', 'life', 'i', 'want', 'to', 'see', 'robotic', 'workers', 'and', 'delivery', 'is', 'so', 'cool', 'and', 'the', 'way', 'of', 'the', 'future']",21,1
WALL-E grandfather!,"['wall-e', 'grandfather']",2,2
"I saw one in Lewisham, South London but it had a man with it making sure it was able to cope with the terrain  .  ","['i', 'saw', 'one', 'in', 'lewisham', 'south', 'london', 'but', 'it', 'had', 'a', 'man', 'with', 'it', 'making', 'sure', 'it', 'was', 'able', 'to', 'cope', 'with', 'the', 'terrain']",24,2
there's no way I'm tipping a robot I'm saving 5 bucks per delivery  .  ,"['there', ""'s"", 'no', 'way', 'i', ""'m"", 'tipping', 'a', 'robot', 'i', ""'m"", 'saving', 'bucks', 'per', 'delivery']",15,1
It's NONSENSE,"['it', 'is', 'nonsense']",3,0
at least help them,"['at', 'least', 'help', 'them']",4,1
To create alibi as to why it's marks were at the scene,"['to', 'create', 'alibi', 'as', 'to', 'why', 'it', 'is', 'marks', 'were', 'at', 'the', 'scene']",13,0
then the local chavs kick it over and stamp on it to get free stuff lol also for free taxi order food from somewhere and sit on the top and it will drive you home,"['then', 'the', 'local', 'chavs', 'kick', 'it', 'over', 'and', 'stamp', 'on', 'it', 'to', 'get', 'free', 'stuff', 'lol', 'also', 'for', 'free', 'taxi', 'order', 'food', 'from', 'somewhere', 'and', 'sit', 'on', 'the', 'top', 'and', 'it', 'will', 'drive', 'you', 'home']",35,0
"They are taking jobs that nobody else wants  .   Nobody wants to work in food service  .   If you still see terrible service after the pandemic ends, you know why  .  People are tired of the bad treatment by management and customers","['they', 'are', 'taking', 'jobs', 'that', 'nobody', 'else', 'wants', 'nobody', 'wants', 'to', 'work', 'in', 'food', 'service', 'if', 'you', 'still', 'see', 'terrible', 'service', 'after', 'the', 'pandemic', 'ends', 'you', 'know', 'why', 'people', 'are', 'tired', 'of', 'the', 'bad', 'treatment', 'by', 'management', 'and', 'customers']",39,1
I'm not gonna destroy it  .   Just turn it on it's side a little  .  ,"['i', ""'m"", 'not', 'going', 'to', 'destroy', 'it', 'just', 'turn', 'it', 'on', 'it', 'is', 'side', 'a', 'little']",16,2
who controls it,"['who', 'controls', 'it']",3,2
Do a lot of cars fall over where you live?,"['do', 'a', 'lot', 'of', 'cars', 'fall', 'over', 'where', 'you', 'live']",10,2
There's a Tesco express I go to regularly and I love watching these negotiate the busy road  .  ,"['there', ""'s"", 'a', 'tesco', 'express', 'i', 'go', 'to', 'regularly', 'and', 'i', 'love', 'watching', 'these', 'negotiate', 'the', 'busy', 'road']",18,1
"it also made a video about you, funny watching you run around like you do when you could get a robot to do it  .  ","['it', 'also', 'made', 'a', 'video', 'about', 'you', 'funny', 'watching', 'you', 'run', 'around', 'like', 'you', 'do', 'when', 'you', 'could', 'get', 'a', 'robot', 'to', 'do', 'it']",24,1
"You refer the robot ""him""?","['you', 'refer', 'the', 'robot', 'him']",5,2
steal what is inside,"['or', 'stealing', 'what', 'is', 'inside']",5,0
That’s a great invention very helpful specially during this pandemic,"['that', 's', 'a', 'great', 'invention', 'very', 'helpful', 'specially', 'during', 'this', 'pandemic']",11,1
Who orders non sealed liquid in one of these,"['who', 'orders', 'non', 'sealed', 'liquid', 'in', 'one', 'of', 'these']",9,2
"Why is it called ""Kiwi""?","['why', 'is', 'it', 'called', 'kiwi']",5,2
sorry but people dumb not ready they will broke them,"['sorry', 'but', 'people', 'dumb', 'not', 'ready', 'they', 'will', 'broke', 'them']",10,0
Please tell me u helped it get back up dude,"['please', 'tell', 'me', 'u', 'helped', 'it', 'get', 'back', 'up', 'dude']",10,1
"Yes they have been here in Milton Keynes for a few years now, probably because there are so many lazy bastards here in MK  .  ","['yes', 'they', 'have', 'been', 'here', 'in', 'milton', 'keynes', 'for', 'a', 'few', 'years', 'now', 'probably', 'because', 'there', 'are', 'so', 'many', 'lazy', 'bastards', 'here', 'in', 'mk']",24,2
"Tonight's news, a homeless man was threaten and beaten senseless by a robot who claimed self defense!","['tonight', ""'s"", 'news', 'a', 'homeless', 'man', 'was', 'threaten', 'and', 'beaten', 'senseless', 'by', 'a', 'robot', 'who', 'claimed', 'self', 'defense']",18,2
"I am pretty sure the idea is to drive them on sidewalks  .   And yes they probably be either way larger in real deployment, or work only last mile","['i', 'am', 'pretty', 'sure', 'the', 'idea', 'is', 'to', 'drive', 'them', 'on', 'sidewalks', 'and', 'yes', 'they', 'probably', 'be', 'either', 'way', 'larger', 'in', 'real', 'deployment', 'or', 'work', 'only', 'last', 'mile']",28,2
Bedford?,['bedford'],1,2
Yes I have seen these and yes they do work,"['yes', 'i', 'have', 'seen', 'these', 'and', 'yes', 'they', 'do', 'work']",10,2
And i have never used Amazon in my life  .  ,"['and', 'i', 'have', 'never', 'used', 'amazon', 'in', 'my', 'life']",9,2
How will these robots make it pass the homeless and chaos  .   O I forgot we are in a pandemic/civil war  .   Timing is for roll out  .  ,"['how', 'will', 'these', 'robots', 'make', 'it', 'pass', 'the', 'homeless', 'and', 'chaos', 'o', 'i', 'forgot', 'we', 'are', 'in', 'a', 'pandemic/civil', 'war', 'timing', 'is', 'for', 'roll', 'out']",25,0
You can’t see the bigger picture,"['you', 'can', 't', 'see', 'the', 'bigger', 'picture']",7,1
Are masks mandatory for autonomous food delivery? Bahahaha,"['are', 'masks', 'mandatory', 'for', 'autonomous', 'food', 'delivery', 'bahahaha']",8,2
Technologies Outstanding  .   You have a very innovative and pioneering product here  .  ,"['technologies', 'outstanding', 'you', 'have', 'a', 'very', 'innovative', 'and', 'pioneering', 'product', 'here']",11,2
Stupidity at its finest wise up the future needs to be people not robots!,"['stupidity', 'at', 'its', 'finest', 'wise', 'up', 'the', 'future', 'needs', 'to', 'be', 'human', 'not', 'robots']",14,0
You are safe when the AI attack  .  ,"['you', 'are', 'safe', 'when', 'the', 'ai', 'attack']",7,2
Or join the super market trolleys in the local canal,"['or', 'join', 'the', 'super', 'market', 'trolleys', 'in', 'the', 'local', 'canal']",10,0
The homeless will steal them   .  ,"['the', 'homeless', 'will', 'steal', 'them']",5,0
Now they will all get robbed thanks to you lol,"['now', 'they', 'will', 'all', 'get', 'robbed', 'thanks', 'to', 'you', 'lol']",10,0
"Yeah right, it won't survive the first day at work! Someone will pick it up and put the whole thing in the trunk of their car  .  ","['yeah', 'right', 'it', 'will', 'not', 'survive', 'the', 'first', 'day', 'at', 'work', 'someone', 'will', 'pick', 'it', 'up', 'and', 'put', 'the', 'whole', 'thing', 'in', 'the', 'trunk', 'of', 'their', 'car']",27,0
", I saw a video of someone running over one of these with a car while it was trying to cross the street it even retreated because it got very damaged and the stupid person didn’t even care","['i', 'saw', 'a', 'video', 'of', 'someone', 'running', 'over', 'one', 'of', 'these', 'with', 'a', 'car', 'while', 'it', 'was', 'trying', 'to', 'cross', 'the', 'street', 'it', 'even', 'retreated', 'because', 'it', 'got', 'very', 'damaged', 'and', 'the', 'stupid', 'person', 'didn', 't', 'even', 'care']",38,1
Where I live the chavs would have smashed that and nicked the groceries  .  ,"['where', 'i', 'live', 'the', 'chavs', 'would', 'have', 'smashed', 'that', 'and', 'nicked', 'the', 'groceries']",13,0
They have trackers on them,"['they', 'have', 'trackers', 'on', 'them']",5,2
That's great Allen! How long have these robots been around?,"['that', ""'s"", 'great', 'allen', 'how', 'long', 'have', 'these', 'robots', 'been', 'around']",11,2
I have heard of stores that has cleaning and sort robots,"['i', 'have', 'heard', 'of', 'stores', 'that', 'has', 'cleaning', 'and', 'sort', 'robots']",11,2
It is useful technology,"['it', 'is', 'useful', 'technology']",4,1
"this think had surrounding camera, tracker, alarm system and lock system   .   trying to steal from it will let you into a trouble","['this', 'think', 'had', 'surrounding', 'camera', 'tracker', 'alarm', 'system', 'and', 'lock', 'system', 'trying', 'to', 'steal', 'from', 'it', 'will', 'let', 'you', 'into', 'a', 'trouble']",22,1
"Wow, wonderful","['wow', 'wonderful']",2,1
so cool!,"['so', 'cool']",2,1
will it come to turkey we need it,"['will', 'it', 'come', 'to', 'turkey', 'we', 'need', 'it']",8,1
That's why they aren't near the hood in la,"['that', ""'s"", 'why', 'they', 'are', 'not', 'near', 'the', 'hood', 'in', 'la']",11,0
Wall-e wasn't suppose to be a documentary,"['wall-e', 'was', 'not', 'suppose', 'to', 'be', 'a', 'documentary']",8,2
"That is replacing people, and people do not seem to mind  .   Seriously","['that', 'is', 'replacing', 'people', 'and', 'people', 'do', 'not', 'seem', 'to', 'mind', 'seriously']",12,0
"this is April fools, meh","['this', 'is', 'april', 'fools', 'meh']",5,0
Looks like our packages are gonna get delivered in over the course of weeks instead of days  .  ,"['looks', 'like', 'our', 'packages', 'are', 'going', 'to', 'get', 'delivered', 'in', 'over', 'the', 'course', 'of', 'weeks', 'instead', 'of', 'days']",18,0
What if it goes all the way there and you are in the pub ?,"['what', 'if', 'it', 'goes', 'all', 'the', 'way', 'there', 'and', 'you', 'are', 'in', 'the', 'pub']",14,2
People who order food: how long it take I am starving in my house,"['people', 'who', 'order', 'food', 'how', 'long', 'it', 'take', 'i', 'am', 'starving', 'in', 'my', 'house']",14,0
"It is a gimmick for rich customers  .   The delivery fee is, no doubt, steep  .   These things will be stolen and vandalized  .  ","['it', 'is', 'a', 'gimmick', 'for', 'rich', 'customers', 'the', 'delivery', 'fee', 'is', 'no', 'doubt', 'steep', 'these', 'things', 'will', 'be', 'stolen', 'and', 'vandalized']",21,0
"""Enemy RC-XD spotted!""  .   These are so adorable!","['enemy', 'rc-xd', 'spotted', 'these', 'are', 'so', 'adorable']",7,1
That thing won't survive 20 minutes in a black neighborhood,"['that', 'thing', 'will', 'not', 'survive', 'minutes', 'in', 'a', 'black', 'neighborhood']",10,0
Voan Siam upgrades and can tip itself over like Boston dynamics robots,"['voan', 'siam', 'upgrades', 'and', 'can', 'tip', 'itself', 'over', 'like', 'boston', 'dynamics', 'robots']",12,1
"well, I mean   .   in smaller areas they might make more sense than drivers","['well', 'i', 'mean', 'in', 'smaller', 'areas', 'they', 'might', 'make', 'more', 'sense', 'than', 'drivers']",13,1
Guess these customers can't rate the robot for a wrong order like they do us humans!,"['guess', 'these', 'customers', 'can', 'not', 'rate', 'the', 'robot', 'for', 'a', 'wrong', 'order', 'like', 'they', 'do', 'us', 'humans']",17,2
Well done for being a Bot Hero,"['well', 'done', 'for', 'being', 'a', 'bot', 'hero']",7,1
These have been in the UK for years in the town of Milton Keynes  .  ,"['these', 'have', 'been', 'in', 'the', 'uk', 'for', 'years', 'in', 'the', 'town', 'of', 'milton', 'keynes']",14,2
This thing wouldn't make it 2 feet in a democrat city law,"['this', 'thing', 'would', 'not', 'make', 'it', 'feet', 'in', 'a', 'democrat', 'city', 'law']",12,0
why don’t you do a little research and you will find out it isn’t absurd at all and it’s actually how they function  .   There was a whole news report on it  .  ,"['why', 'don', 't', 'you', 'do', 'a', 'little', 'research', 'and', 'you', 'will', 'find', 'out', 'it', 'isn', 't', 'absurd', 'at', 'all', 'and', 'it', 's', 'actually', 'how', 'they', 'function', 'there', 'was', 'a', 'whole', 'news', 'report', 'on', 'it']",34,2
What about hackers?  .  ,"['what', 'about', 'hackers']",3,0
this will go well in a ghetto neighborhood  .  ,"['this', 'will', 'go', 'well', 'in', 'a', 'ghetto', 'neighborhood']",8,0
I was thinking about skateboarding on it,"['i', 'was', 'thinking', 'about', 'skateboarding', 'on', 'it']",7,0
You people are so dumb  .   These can be easily stolen by kids  .  ,"['you', 'people', 'are', 'so', 'dumb', 'these', 'can', 'be', 'easily', 'stolen', 'by', 'kids']",12,0
I saw the same drone on Queen St East in Toronto near Broadview Ave and a lady was walking her dog and the dog saw it and went APE SHIT  .   Totally freaked out  .  ,"['i', 'saw', 'the', 'same', 'drone', 'on', 'queen', 'st', 'east', 'in', 'toronto', 'near', 'broadview', 'ave', 'and', 'a', 'lady', 'was', 'walking', 'her', 'dog', 'and', 'the', 'dog', 'saw', 'it', 'and', 'went', 'ape', 'shit', 'totally', 'freaked', 'out']",33,0
That's cool! I hope it doesn't get run over by a train  .  ,"['that', ""'s"", 'cool', 'i', 'hope', 'it', 'does', 'not', 'get', 'run', 'over', 'by', 'a', 'train']",14,1
"My Mom's birthplace -- Northampton, England! WOW! Cute!","['my', 'mom', ""'s"", 'birthplace', '--', 'northampton', 'england', 'wow', 'cute']",9,1
Coffee and donuts Officers!!,"['coffee', 'and', 'donuts', 'officers']",4,2
Bahahaha hopefully a doggy comes by and pee on it,"['bahahaha', 'hopefully', 'a', 'doggy', 'comes', 'by', 'and', 'pee', 'on', 'it']",10,0
"Sounds like my neighborhood  .   Unless the thing has gatling guns and bullet proof armor, it won't last a day around here  .  ","['sounds', 'like', 'my', 'neighborhood', 'unless', 'the', 'thing', 'has', 'gatling', 'guns', 'and', 'bullet', 'proof', 'armor', 'it', 'will', 'not', 'last', 'a', 'day', 'around', 'here']",22,0
Change is coming  .  ,"['change', 'is', 'coming']",3,1
"yeah, but you would have to do that many more times compared to wheels  .   Besides, tracks have a greater chance of getting stuffed with things like snow, which can cause them to pop off the robot  .  ","['yeah', 'but', 'you', 'would', 'have', 'to', 'do', 'that', 'many', 'more', 'times', 'compared', 'to', 'wheels', 'besides', 'tracks', 'have', 'a', 'greater', 'chance', 'of', 'getting', 'stuffed', 'with', 'things', 'like', 'snow', 'which', 'can', 'cause', 'them', 'to', 'pop', 'off', 'the', 'robot']",36,0
